 JULDAY,   TIME,    PT1,    PT2,    PT3,    PT4,    PT5,    PT6,    PT7,    PT8,    PT9,   PT10
258.,    600.00,    -15.72,    -12.12,    -11.74,    -12.40,    -13.22,    -13.50,    -12.90,    -11.69,    -10.46,     -1.10
258.,    660.00,    -20.18,    -12.93,    -12.03,    -12.42,    -13.15,    -13.47,    -12.90,    -11.69,    -10.46,     -1.10
258.,    720.00,    -26.70,    -13.89,    -12.40,    -12.49,    -13.10,    -13.44,    -12.91,    -11.69,    -10.47,     -1.10
258.,    780.00,    -34.51,    -14.88,    -12.81,    -12.59,    -13.06,    -13.41,    -12.91,    -11.70,    -10.47,     -1.10
258.,    840.00,    -42.86,    -15.86,    -13.24,    -12.73,    -13.05,    -13.38,    -12.91,    -11.70,    -10.47,     -1.10
258.,    900.00,    -49.21,    -16.77,    -13.68,    -12.88,    -13.06,    -13.35,    -12.92,    -11.71,    -10.47,     -1.10
258.,    960.00,    -51.23,    -17.59,    -14.10,    -13.04,    -13.08,    -13.32,    -12.92,    -11.71,    -10.47,     -1.10
258.,   1020.00,    -48.36,    -18.31,    -14.51,    -13.21,    -13.11,    -13.30,    -12.92,    -11.72,    -10.48,     -1.10
258.,   1080.00,    -42.59,    -18.90,    -14.88,    -13.38,    -13.15,    -13.28,    -12.92,    -11.72,    -10.48,     -1.10
258.,   1140.00,    -37.40,    -19.35,    -15.23,    -13.56,    -13.21,    -13.27,    -12.92,    -11.72,    -10.48,     -1.10
258.,   1200.00,    -33.51,    -19.67,    -15.54,    -13.73,    -13.27,    -13.26,    -12.92,    -11.73,    -10.48,     -1.10
258.,   1260.00,    -30.64,    -19.87,    -15.82,    -13.89,    -13.33,    -13.25,    -12.92,    -11.73,    -10.49,     -1.10
258.,   1320.00,    -28.52,    -19.98,    -16.07,    -14.05,    -13.41,    -13.25,    -12.92,    -11.73,    -10.49,     -1.10
258.,   1380.00,    -26.79,    -20.01,    -16.28,    -14.21,    -13.48,    -13.26,    -12.92,    -11.74,    -10.49,     -1.10
288.,      0.00,     -4.91,     -5.79,    -11.81,    -14.40,    -13.63,    -13.27,    -12.92,    -11.74,    -10.50,     -1.10
288.,     60.00,     -6.47,     -6.80,     -9.21,    -13.70,    -13.67,    -13.29,    -12.92,    -11.75,    -10.50,     -1.10
288.,    120.00,     -7.33,     -7.48,     -8.93,    -12.61,    -13.60,    -13.30,    -12.91,    -11.75,    -10.50,     -1.10
288.,    180.00,     -7.92,     -7.98,     -8.99,    -11.79,    -13.39,    -13.31,    -12.91,    -11.75,    -10.50,     -1.10
288.,    240.00,     -8.35,     -8.36,     -9.12,    -11.30,    -13.10,    -13.31,    -12.91,    -11.76,    -10.51,     -1.10
288.,    300.00,     -8.71,     -8.67,     -9.26,    -11.01,    -12.79,    -13.29,    -12.91,    -11.76,    -10.51,     -1.10
288.,    360.00,     -9.00,     -8.93,     -9.41,    -10.85,    -12.51,    -13.25,    -12.91,    -11.76,    -10.51,     -1.10
288.,    420.00,     -9.26,     -9.16,     -9.54,    -10.75,    -12.28,    -13.19,    -12.90,    -11.76,    -10.51,     -1.10
288.,    480.00,     -9.61,     -9.38,     -9.67,    -10.70,    -12.09,    -13.12,    -12.90,    -11.77,    -10.52,     -1.10
288.,    540.00,    -10.30,     -9.67,     -9.81,    -10.69,    -11.94,    -13.04,    -12.90,    -11.77,    -10.52,     -1.10
288.,    600.00,    -11.31,    -10.07,     -9.99,    -10.70,    -11.82,    -12.96,    -12.90,    -11.77,    -10.52,     -1.10
288.,    660.00,    -13.01,    -10.59,    -10.23,    -10.74,    -11.74,    -12.88,    -12.90,    -11.78,    -10.52,     -1.10
288.,    720.00,    -15.18,    -11.24,    -10.52,    -10.82,    -11.68,    -12.80,    -12.89,    -11.78,    -10.53,     -1.10
288.,    780.00,    -17.10,    -11.93,    -10.85,    -10.93,    -11.65,    -12.72,    -12.89,    -11.78,    -10.53,     -1.10
288.,    840.00,    -18.63,    -12.59,    -11.21,    -11.06,    -11.64,    -12.65,    -12.88,    -11.79,    -10.53,     -1.10
288.,    900.00,    -19.37,    -13.18,    -11.56,    -11.20,    -11.65,    -12.59,    -12.87,    -11.79,    -10.53,     -1.10
288.,    960.00,    -19.23,    -13.66,    -11.89,    -11.36,    -11.68,    -12.54,    -12.87,    -11.80,    -10.54,     -1.10
288.,   1020.00,    -18.44,    -14.01,    -12.20,    -11.52,    -11.71,    -12.49,    -12.86,    -11.80,    -10.54,     -1.10
288.,   1080.00,    -17.56,    -14.22,    -12.46,    -11.68,    -11.76,    -12.45,    -12.84,    -11.80,    -10.54,     -1.10
288.,   1140.00,    -16.94,    -14.33,    -12.69,    -11.83,    -11.82,    -12.42,    -12.83,    -11.80,    -10.54,     -1.10
288.,   1200.00,    -16.51,    -14.38,    -12.87,    -11.98,    -11.88,    -12.39,    -12.82,    -11.81,    -10.55,     -1.10
288.,   1260.00,    -16.21,    -14.40,    -13.02,    -12.11,    -11.95,    -12.38,    -12.81,    -11.81,    -10.55,     -1.10
288.,   1320.00,    -15.94,    -14.41,    -13.14,    -12.23,    -12.02,    -12.37,    -12.79,    -11.81,    -10.55,     -1.10
288.,   1380.00,    -15.75,    -14.40,    -13.23,    -12.34,    -12.09,    -12.36,    -12.78,    -11.82,    -10.55,     -1.10
319.,      0.00,     -4.03,     -4.47,     -7.90,    -12.28,    -12.21,    -12.37,    -12.75,    -11.82,    -10.56,     -1.10
319.,     60.00,     -5.39,     -5.48,     -6.76,    -10.75,    -12.16,    -12.37,    -12.73,    -11.82,    -10.56,     -1.10
319.,    120.00,     -6.13,     -6.12,     -6.89,     -9.53,    -11.82,    -12.37,    -12.72,    -11.83,    -10.56,     -1.10
319.,    180.00,     -6.64,     -6.57,     -7.11,     -8.98,    -11.32,    -12.35,    -12.71,    -11.83,    -10.57,     -1.10
319.,    240.00,     -7.03,     -6.93,     -7.32,     -8.75,    -10.85,    -12.28,    -12.69,    -11.83,    -10.57,     -1.10
319.,    300.00,     -7.35,     -7.22,     -7.52,     -8.66,    -10.49,    -12.18,    -12.68,    -11.83,    -10.57,     -1.10
319.,    360.00,     -7.62,     -7.47,     -7.70,     -8.64,    -10.22,    -12.05,    -12.66,    -11.83,    -10.57,     -1.10
319.,    420.00,     -7.86,     -7.68,     -7.86,     -8.65,    -10.03,    -11.89,    -12.65,    -11.84,    -10.58,     -1.10
319.,    480.00,     -8.07,     -7.88,     -8.01,     -8.68,     -9.89,    -11.74,    -12.63,    -11.84,    -10.58,     -1.10
319.,    540.00,     -8.37,     -8.08,     -8.15,     -8.73,     -9.80,    -11.59,    -12.61,    -11.84,    -10.58,     -1.10
319.,    600.00,     -8.86,     -8.33,     -8.31,     -8.79,     -9.74,    -11.45,    -12.59,    -11.84,    -10.58,     -1.10
319.,    660.00,     -9.64,     -8.67,     -8.49,     -8.86,     -9.70,    -11.32,    -12.57,    -11.84,    -10.59,     -1.10
319.,    720.00,    -10.62,     -9.09,     -8.72,     -8.95,     -9.68,    -11.21,    -12.54,    -11.85,    -10.59,     -1.10
319.,    780.00,    -11.19,     -9.50,     -8.97,     -9.06,     -9.69,    -11.11,    -12.52,    -11.85,    -10.59,     -1.10
319.,    840.00,    -11.69,     -9.87,     -9.22,     -9.19,     -9.71,    -11.03,    -12.49,    -11.85,    -10.59,     -1.10
319.,    900.00,    -11.94,    -10.19,     -9.46,     -9.32,     -9.75,    -10.96,    -12.45,    -11.85,    -10.60,     -1.10
319.,    960.00,    -11.93,    -10.43,     -9.69,     -9.46,     -9.79,    -10.90,    -12.42,    -11.85,    -10.60,     -1.10
319.,   1020.00,    -11.78,    -10.59,     -9.88,     -9.59,     -9.85,    -10.86,    -12.38,    -11.86,    -10.60,     -1.10
319.,   1080.00,    -11.67,    -10.69,    -10.04,     -9.72,     -9.91,    -10.83,    -12.35,    -11.86,    -10.60,     -1.10
319.,   1140.00,    -11.62,    -10.77,    -10.17,     -9.84,     -9.98,    -10.80,    -12.31,    -11.86,    -10.61,     -1.10
319.,   1200.00,    -11.61,    -10.83,    -10.28,     -9.94,    -10.04,    -10.78,    -12.27,    -11.86,    -10.61,     -1.10
319.,   1260.00,    -11.59,    -10.89,    -10.37,    -10.04,    -10.10,    -10.77,    -12.23,    -11.86,    -10.61,     -1.10
319.,   1320.00,    -11.59,    -10.94,    -10.45,    -10.13,    -10.17,    -10.77,    -12.20,    -11.86,    -10.61,     -1.10
319.,   1380.00,    -11.57,    -10.98,    -10.53,    -10.21,    -10.23,    -10.77,    -12.16,    -11.86,    -10.62,     -1.10
349.,      0.00,     -4.23,     -4.53,     -6.76,    -10.00,    -10.33,    -10.78,    -12.09,    -11.86,    -10.62,     -1.10
349.,     60.00,     -5.36,     -5.38,     -6.25,     -8.77,    -10.20,    -10.79,    -12.05,    -11.86,    -10.63,     -1.10
349.,    120.00,     -5.99,     -5.91,     -6.41,     -8.07,     -9.83,    -10.77,    -12.02,    -11.86,    -10.63,     -1.10
349.,    180.00,     -6.43,     -6.30,     -6.62,     -7.80,     -9.43,    -10.72,    -11.99,    -11.86,    -10.63,     -1.10
349.,    240.00,     -6.76,     -6.60,     -6.82,     -7.71,     -9.12,    -10.63,    -11.96,    -11.86,    -10.63,     -1.10
349.,    300.00,     -7.02,     -6.85,     -6.99,     -7.70,     -8.90,    -10.51,    -11.93,    -11.86,    -10.64,     -1.10
349.,    360.00,     -7.25,     -7.06,     -7.16,     -7.73,     -8.76,    -10.37,    -11.90,    -11.86,    -10.64,     -1.10
349.,    420.00,     -7.46,     -7.25,     -7.30,     -7.77,     -8.67,    -10.23,    -11.86,    -11.86,    -10.64,     -1.10
349.,    480.00,     -7.63,     -7.41,     -7.44,     -7.83,     -8.61,    -10.10,    -11.83,    -11.86,    -10.64,     -1.10
349.,    540.00,     -7.83,     -7.57,     -7.56,     -7.89,     -8.58,     -9.99,    -11.79,    -11.86,    -10.65,     -1.10
349.,    600.00,     -8.17,     -7.76,     -7.69,     -7.96,     -8.57,     -9.89,    -11.75,    -11.86,    -10.65,     -1.10
349.,    660.00,     -8.73,     -8.02,     -7.84,     -8.03,     -8.57,     -9.80,    -11.71,    -11.86,    -10.65,     -1.10
349.,    720.00,     -9.32,     -8.33,     -8.03,     -8.12,     -8.59,     -9.74,    -11.66,    -11.86,    -10.65,     -1.10
349.,    780.00,     -9.78,     -8.64,     -8.23,     -8.22,     -8.62,     -9.68,    -11.62,    -11.86,    -10.66,     -1.10
349.,    840.00,    -10.11,     -8.93,     -8.43,     -8.34,     -8.66,     -9.64,    -11.57,    -11.86,    -10.66,     -1.10
349.,    900.00,    -10.27,     -9.16,     -8.62,     -8.46,     -8.71,     -9.60,    -11.52,    -11.86,    -10.66,     -1.10
349.,    960.00,    -10.30,     -9.33,     -8.79,     -8.58,     -8.76,     -9.58,    -11.47,    -11.86,    -10.66,     -1.10
349.,   1020.00,    -10.27,     -9.46,     -8.94,     -8.69,     -8.83,     -9.56,    -11.42,    -11.85,    -10.67,     -1.10
349.,   1080.00,    -10.27,     -9.55,     -9.07,     -8.80,     -8.89,     -9.56,    -11.38,    -11.85,    -10.67,     -1.10
349.,   1140.00,    -10.28,     -9.63,     -9.17,     -8.90,     -8.96,     -9.55,    -11.33,    -11.85,    -10.67,     -1.10
349.,   1200.00,    -10.31,     -9.70,     -9.27,     -8.99,     -9.02,     -9.56,    -11.28,    -11.85,    -10.67,     -1.10
349.,   1260.00,    -10.33,     -9.76,     -9.35,     -9.07,     -9.08,     -9.57,    -11.24,    -11.84,    -10.68,     -1.10
349.,   1320.00,    -10.36,     -9.82,     -9.43,     -9.15,     -9.14,     -9.58,    -11.19,    -11.84,    -10.68,     -1.10
349.,   1380.00,    -10.38,     -9.87,     -9.50,     -9.22,     -9.20,     -9.60,    -11.15,    -11.84,    -10.68,     -1.10
